Attendance,Work Habits,Behavior,Timeliness,Advocacy,Tech Growth,Tech Sense, Tech Talk,Communication and Collaboration, Leadership ,Integrity,Total,AP Score,Grade
0,1,1,1,1,0,0,0,1,0,0,5,1,B
0,1,1,1,1,0,0,0,1,0,0,5,1,B
1,1,1,1,1,0,0,0,1,1,1,8,1,A
0,0,1,0,1,0,0,0,0,0,0,2,1,B
1,0,0,0,0,0,0,0,1,0,1,3,1,B
0,0,1,0,0,1,1,0,0,0,0,3,1,A
0,0,1,0,1,1,1,0,0,0,0,4,2,B
1,0,1,0,0,1,0,0,1,0,0,4,2,B
1,0,1,0,1,0,0,0,1,0,0,4,2,A
0,0,0,0,0,1,1,0,1,0,0,3,2,B
0,0,0,1,1,0,0,0,1,0,1,4,2,B
0,0,0,0,1,1,1,0,1,0,0,4,2,B
0,0,0,0,1,1,0,0,0,0,0,2,2,B
1,1,1,1,1,1,0,1,1,0,1,9,2,A
1,0,1,0,1,1,0,0,0,0,1,5,2,B
0,0,1,0,1,1,1,0,0,0,1,5,3,C
1,1,1,1,1,1,0,0,1,0,0,7,3,A
1,1,1,1,0,1,1,1,1,0,1,9,3,A
0,0,1,1,1,1,1,1,0,0,0,6,3,B
1,0,1,1,1,1,0,0,1,0,0,6,3,A
1,1,1,0,0,1,1,1,1,0,0,7,3,A
1,0,0,1,1,1,1,0,1,0,0,6,3,A
1,1,1,1,0,1,1,0,1,0,1,8,3,A
1,0,1,1,0,1,1,0,1,0,0,6,3,A
1,1,1,0,1,1,0,1,1,0,1,8,3,A
1,1,1,1,1,1,0,1,1,1,1,10,3,A
1,1,1,0,0,1,1,1,1,0,1,8,3,A
1,1,1,1,1,0,1,1,1,1,0,9,3,A
0,1,1,0,0,1,1,1,1,0,1,7,3,B
1,0,0,0,1,1,1,1,1,0,1,7,3,A
1,1,1,1,1,1,0,0,1,0,0,7,3,A
1,0,0,1,1,1,1,0,1,1,1,8,3,A
1,0,1,1,1,1,1,1,0,0,0,7,3,A
0,1,1,1,1,1,1,0,1,0,1,8,3,A
1,1,1,0,0,1,1,1,1,1,1,9,4,A
1,1,1,0,1,1,1,1,1,1,1,10,4,A
1,1,1,1,1,1,1,1,1,1,1,11,4,A
0,1,1,0,0,1,1,1,1,0,1,7,4,B
1,1,1,1,1,0,1,1,1,0,1,9,4,A
1,1,1,1,1,1,0,1,1,0,1,9,4,A
1,1,1,1,1,1,0,1,1,0,1,9,4,A
1,1,1,0,1,1,1,1,1,0,1,9,4,A
1,1,1,1,1,1,1,1,1,0,1,10,4,A
1,1,1,1,1,1,1,1,1,1,1,11,4,A
1,1,1,1,1,0,1,1,1,1,1,10,4,A
1,1,1,1,0,1,1,1,0,0,1,8,4,A
1,1,1,1,1,1,1,1,1,1,1,11,4,A
1,1,1,1,1,0,1,1,1,1,1,10,4,A
1,1,1,1,1,0,1,1,1,1,1,10,5,A
1,1,0,1,1,1,1,1,1,0,1,9,5,A
1,1,1,1,1,1,1,1,1,0,0,9,5,A
1,1,1,1,1,1,1,1,1,1,1,11,5,A
1,1,1,1,1,1,1,1,1,1,1,11,5,A
1,1,1,1,1,1,1,1,1,1,1,11,5,A
1,1,1,1,1,1,1,1,1,1,1,11,5,A
1,1,1,1,0,0,1,0,1,1,1,8,5,A
1,1,1,1,1,0,1,1,1,1,1,10,5,A
1,1,1,1,1,1,1,1,1,1,1,11,5,A
1,1,1,1,1,1,1,1,1,1,1,11,5,A
1,1,1,1,1,1,1,1,1,1,1,11,5,A
1,1,1,1,1,1,1,1,1,1,1,11,5,A
1,1,1,1,1,1,1,1,1,1,1,11,5,A
1,1,1,0,1,1,1,1,1,1,1,10,5,A
1,1,1,1,1,1,1,1,1,0,1,10,5,A
0,1,1,1,1,1,1,1,1,1,1,10,5,A